0,0.727698
5,0.534696
10,0.411139
15,0.345172
20,0.316954
25,0.299491
30,0.281349
35,0.264727
40,0.245338
45,0.220935
50,0.190620
55,0.158542
60,0.133767
65,0.117540
70,0.107972
75,0.101896
80,0.097597
85,0.094190
90,0.091595
95,0.088789
100,0.086419
105,0.084541
110,0.081572
115,0.078459
120,0.074016
125,0.069576
130,0.064161
135,0.057216
140,0.051982
145,0.041850
150,0.037910
155,0.034989
160,0.029314
165,0.023252
170,0.021608
175,0.022837
180,0.018209
185,0.020408
190,0.016670
195,0.015758
200,0.012278
205,0.012056
210,0.014028
215,0.011277
220,0.009205
225,0.011158
230,0.011251
235,0.008126
240,0.008717
245,0.007877
250,0.008371
255,0.007693
260,0.007881
265,0.008071
270,0.007166
275,0.007055
280,0.010798
285,0.091471
290,0.079099
295,0.062846
300,0.054099
305,0.042472
310,0.034591
315,0.028377
320,0.024566
325,0.017604
330,0.017412
335,0.015043
340,0.013388
345,0.014120
350,0.010543
355,0.010190
360,0.009900
365,0.009185
370,0.010687
375,0.007710
380,0.007996
385,0.008743
390,0.006643
395,0.009023
400,0.008473
405,0.007169
410,0.006934
415,0.008373
420,0.006709
425,0.008045
430,0.006418
435,0.009530
440,0.008383
445,0.009630
450,0.006749
455,0.006106
460,0.006653
465,0.006153
470,0.010100
475,0.006899
480,0.006118
485,0.005406
490,0.006686
495,0.006253
500,0.010615
505,0.005108
510,0.008135
515,0.006319
520,0.003991
525,0.007287
530,0.005251
535,0.008716
540,0.005566
545,0.006225
550,0.007174
555,0.004921
560,0.004478
565,0.003802
570,0.004711
575,0.003642
580,0.004401
585,0.006106
590,0.005916
595,0.006565
600,0.008216
605,0.005535
610,0.005105
615,0.004658
620,0.004492
625,0.004366
630,0.005013
635,0.005314
640,0.005490
645,0.003113
650,0.006083
655,0.005101
660,0.004801
665,0.005088
670,0.007928
675,0.004532
680,0.005474
685,0.002978
690,0.004488
695,0.006464
700,0.004667
705,0.004096
710,0.003234
715,0.003579
720,0.003898
725,0.004925
730,0.005842
735,0.004081
740,0.003512
745,0.004537
750,0.005111
755,0.004759
760,0.004519
765,0.004916
770,0.005833
775,0.004005
780,0.003941
785,0.003895
790,0.003153
795,0.003785
800,0.003311
805,0.004005
810,0.004067
815,0.003257
820,0.003791
825,0.002016
830,0.003734
835,0.003737
840,0.005726
845,0.003964
850,0.004026
855,0.006115
860,0.005973
865,0.004471
870,0.005979
875,0.004365
880,0.003174
885,0.004502
890,0.005395
895,0.003539
900,0.003274
905,0.004201
910,0.002746
915,0.003031
920,0.006294
925,0.004316
930,0.006095
935,0.005156
940,0.005817
945,0.004065
950,0.003665
955,0.003314
960,0.006571
965,0.004536
970,0.003058
975,0.004538
980,0.004253
985,0.002864
990,0.002877
995,0.003177
1000,0.004394
1005,0.003851
1010,0.004179
1015,0.003947
1020,0.002952
1025,0.006502
1030,0.005051
1035,0.004712
1040,0.005811
1045,0.007229
1050,0.004401
1055,0.002506
1060,0.005344
1065,0.006643
1070,0.003669
1075,0.002601
1080,0.005235
1085,0.005565
1090,0.006704
1095,0.006605
1100,0.004876
1105,0.005644
1110,0.004153
1115,0.003473
1120,0.003707
1125,0.002710
1130,0.005182
1135,0.002844
1140,0.005072
1145,0.005593
1150,0.003571
1155,0.003905
1160,0.002792
1165,0.003922
1170,0.003306
