0,0.693125
5,0.692330
10,0.667485
15,0.613264
20,0.520334
25,0.424036
30,0.334246
35,0.302056
40,0.277241
45,0.248056
50,0.213740
55,0.176814
60,0.144536
65,0.123236
70,0.109568
75,0.102786
80,0.098368
85,0.094849
90,0.089748
95,0.090238
100,0.087451
105,0.086617
110,0.085785
115,0.083649
120,0.081590
125,0.079676
130,0.079588
135,0.076532
140,0.076298
145,0.072548
150,0.069647
155,0.068482
160,0.063444
165,0.056538
170,0.052199
175,0.043277
180,0.037574
185,0.077334
190,0.043832
195,0.035050
200,0.029992
205,0.027547
210,0.024922
215,0.022708
220,0.018706
225,0.018060
230,0.013326
235,0.015198
240,0.013476
245,0.012281
250,0.011814
255,0.009691
260,0.010701
265,0.008519
270,0.008631
275,0.009281
280,0.009682
285,0.008085
290,0.007284
295,0.007863
300,0.006497
305,0.009020
310,0.007367
315,0.009042
320,0.031165
325,0.057850
330,0.040386
335,0.036700
340,0.024951
345,0.024638
350,0.018720
355,0.014489
360,0.014381
365,0.012145
370,0.011240
375,0.010652
380,0.013009
385,0.009751
390,0.008667
395,0.008944
400,0.009094
405,0.010006
410,0.008473
415,0.007780
420,0.007655
425,0.007841
430,0.006902
435,0.007101
440,0.007104
445,0.008049
450,0.007536
455,0.007948
460,0.007859
465,0.005339
470,0.006113
475,0.008414
480,0.006384
485,0.008324
490,0.007469
495,0.008420
500,0.006487
505,0.003796
510,0.006882
515,0.007198
520,0.004000
525,0.005018
530,0.007479
535,0.004647
540,0.004183
545,0.007179
550,0.005719
555,0.005650
560,0.005887
565,0.005889
570,0.005801
575,0.005751
580,0.006031
585,0.003831
590,0.005606
595,0.004214
600,0.007952
605,0.003476
610,0.005313
615,0.004019
620,0.006798
625,0.006679
630,0.005966
635,0.004194
640,0.004210
645,0.005051
650,0.004440
655,0.004759
660,0.005582
665,0.004341
670,0.004332
675,0.004948
680,0.003632
685,0.006562
690,0.005584
695,0.004379
700,0.005295
705,0.005433
710,0.005027
715,0.005607
720,0.005897
725,0.004573
730,0.003524
735,0.005332
740,0.003504
745,0.005051
750,0.005301
