0,1.57,0.720576
5,-3.63,0.580628
10,-13.82,0.572043
15,-3.49,0.405368
20,6.59,0.345945
25,-14.23,0.563813
30,-11.69,0.482981
35,0.75,0.305201
40,10.88,0.283485
45,1.50,0.283738
50,12.96,0.263476
55,-2.65,0.287283
60,4.71,0.237003
65,20.61,0.207762
70,-11.65,0.488967
75,-9.70,0.403612
80,7.73,0.156060
85,19.54,0.136092
90,-2.11,0.196690
95,-1.94,0.228673
100,-13.01,0.526937
105,5.59,0.137613
110,-5.79,0.257526
115,-12.00,0.461032
120,-3.28,0.241966
125,2.66,0.149175
130,2.38,0.141449
135,21.90,0.156935
140,12.57,0.130762
145,22.56,0.113077
150,-3.82,0.219479
155,-4.56,0.227065
160,15.86,0.101520
165,8.52,0.110921
170,-2.48,0.179097
175,16.04,0.108082
180,-6.27,0.269209
185,-3.22,0.201392
190,9.89,0.099449
195,11.94,0.095113
200,14.04,0.093496
205,18.80,0.089766
210,23.91,0.088107
215,6.63,0.094734
220,3.59,0.104032
225,5.79,0.094411
230,10.34,0.085379
235,-11.73,0.427662
240,13.07,0.081360
245,14.81,0.081325
250,14.29,0.082113
255,-12.35,0.488033
260,-10.00,0.395251
265,1.93,0.122348
270,6.33,0.100524
275,15.15,0.083970
280,-1.84,0.163246
285,11.80,0.075875
290,15.23,0.068328
295,5.85,0.076818
300,-11.42,0.420895
305,20.64,0.051615
310,-9.78,0.359324
315,-8.14,0.313844
320,8.95,0.063648
325,-4.08,0.198375
330,-9.13,0.333761
335,14.95,0.045700
340,20.97,0.039038
345,-14.34,0.532684
350,-8.93,0.342382
355,21.40,0.054553
360,17.25,0.044321
365,21.69,0.031552
370,-7.67,0.291776
375,-2.53,0.163036
380,2.00,0.080690
385,14.92,0.032496
390,6.57,0.042816
395,7.54,0.037126
400,14.62,0.022911
405,-4.35,0.196642
410,12.06,0.022558
415,4.55,0.046048
420,7.46,0.028626
425,9.39,0.021652
430,12.42,0.016820
435,14.48,0.014367
440,22.39,0.015978
445,14.06,0.017204
450,-6.55,0.250067
455,-1.11,0.118846
460,-6.01,0.235211
465,17.59,0.024437
470,11.96,0.067983
475,23.70,0.035734
480,17.81,0.023777
485,16.39,0.022141
490,7.02,0.033801
495,-5.15,0.221433
500,23.73,0.018015
505,23.13,0.012680
510,22.25,0.012974
515,-5.08,0.212953
520,-7.37,0.279927
525,-14.95,0.548777
530,4.29,0.041575
535,-8.67,0.317217
540,8.25,0.019526
545,7.20,0.022162
550,5.16,0.033924
555,21.10,0.007008
560,-3.71,0.173897
565,3.31,0.047176
570,2.72,0.059133
575,14.04,0.008360
580,4.17,0.040061
585,16.79,0.006451
590,-13.57,0.482798
595,15.60,0.006862
600,12.12,0.008454
605,22.07,0.005235
610,-6.94,0.260879
615,24.97,0.012940
620,19.45,0.017343
625,19.77,0.009973
630,-5.78,0.227490
635,-0.86,0.109176
640,19.12,0.010566
