0,0.693148,0.693146
5,0.693130,0.693134
10,0.693104,0.693106
15,0.693081,0.693070
20,0.693010,0.693004
25,0.692898,0.692871
30,0.692712,0.692671
35,0.692408,0.692277
40,0.691888,0.691910
45,0.691153,0.690938
50,0.689881,0.689694
55,0.687143,0.687022
60,0.682110,0.681641
65,0.671387,0.672848
70,0.664480,0.667261
75,0.648710,0.654181
80,0.627229,0.636865
85,0.604221,0.621829
90,0.573818,0.598260
95,0.543942,0.581618
100,0.509739,0.566699
105,0.484841,0.549491
110,0.452934,0.530046
115,0.425249,0.529203
120,0.399103,0.500810
125,0.372056,0.506918
130,0.355493,0.493380
135,0.345783,0.488832
140,0.335848,0.506132
145,0.333743,0.491500
150,0.320431,0.520246
155,0.316054,0.529706
160,0.310375,0.524463
165,0.309429,0.513051
170,0.301590,0.521100
175,0.298026,0.500609
180,0.293317,0.496729
185,0.286479,0.545067
190,0.281245,0.496424
195,0.266647,0.473946
200,0.259445,0.510595
205,0.248800,0.526757
210,0.242584,0.479330
215,0.232653,0.521063
220,0.223850,0.527530
225,0.217309,0.554405
230,0.216808,0.512007
235,0.202584,0.546197
240,0.194803,0.547470
245,0.188406,0.558818
250,0.176016,0.547087
255,0.172454,0.505800
260,0.164645,0.548834
265,0.168055,0.522107
270,0.170301,0.557132
275,0.158902,0.557615
280,0.160444,0.583718
285,0.152430,0.532279
290,0.144921,0.561285
295,0.147852,0.559690
300,0.142201,0.586487
305,0.155660,0.563859
310,0.148513,0.614989
315,0.138102,0.593058
320,0.134129,0.578158
325,0.137157,0.623672
330,0.147093,0.596944
335,0.130088,0.571346
340,0.133718,0.575047
345,0.128305,0.550833
350,0.123910,0.630146
355,0.127442,0.559783
360,0.122591,0.562578
365,0.127311,0.603916
370,0.120087,0.597915
375,0.124318,0.601239
380,0.122951,0.615663
385,0.125807,0.670386
390,0.119296,0.674175
395,0.117707,0.613373
400,0.124145,0.633444
405,0.118235,0.611213
410,0.125204,0.680876
415,0.126195,0.607617
420,0.131205,0.644560
425,0.120583,0.600216
430,0.130096,0.643718
435,0.124881,0.689819
440,0.114659,0.630399
445,0.110867,0.651832
450,0.124741,0.689306
455,0.128146,0.638867
460,0.113289,0.681109
465,0.114058,0.687621
470,0.114375,0.712971
475,0.114488,0.673933
480,0.108516,0.607996
485,0.108656,0.703818
490,0.118532,0.682719
495,0.119868,0.729104
500,0.105140,0.683152
505,0.110785,0.642287
510,0.101867,0.777430
515,0.113432,0.716000
520,0.108596,0.668534
525,0.102235,0.740379
530,0.105603,0.746068
535,0.102897,0.695476
540,0.112247,0.654020
545,0.100361,0.796225
550,0.102888,0.644072
555,0.103020,0.741275
560,0.107651,0.642165
565,0.108408,0.680358
570,0.090233,0.678580
575,0.089771,0.752913
580,0.100254,0.707754
585,0.091932,0.743810
590,0.084936,0.754690
595,0.088625,0.720805
600,0.086679,0.711863
605,0.099099,0.776791
610,0.079319,0.748978
615,0.079500,0.750030
620,0.087979,0.809294
625,0.076904,0.663831
630,0.080153,0.716863
635,0.079297,0.737044
640,0.076085,0.720311
645,0.086764,0.760369
650,0.094926,0.748747
655,0.075938,0.647903
660,0.079174,0.680044
665,0.071860,0.755135
670,0.073003,0.751790
675,0.065801,0.714011
680,0.071434,0.736600
685,0.067548,0.666492
690,0.064577,0.740905
695,0.072274,0.765499
700,0.065671,0.815423
705,0.075370,0.716568
710,0.063585,0.757622
715,0.062376,0.734953
720,0.057552,0.843924
725,0.050099,0.803689
730,0.059547,0.756320
735,0.057077,0.770166
740,0.054460,0.821241
745,0.060825,0.765996
750,0.058184,0.791701
755,0.056634,0.846719
760,0.059725,0.696074
765,0.069661,0.830770
770,0.055169,0.739664
775,0.053925,0.676697
780,0.069801,0.762456
785,0.052566,0.723085
790,0.054840,0.732531
795,0.056677,0.819217
800,0.052257,0.702239
805,0.064081,0.832355
810,0.046742,0.879158
815,0.065507,0.751461
820,0.068366,0.806920
825,0.071364,0.712689
830,0.047969,0.727265
835,0.061714,0.801795
840,0.062295,0.770471
845,0.060899,0.785466
850,0.069416,0.767713
855,0.058585,0.849463
860,0.054899,0.807271
865,0.045599,0.811802
870,0.042967,0.775752
875,0.051734,0.816357
