0,15.70,0.693352
5,16.48,0.692012
10,15.67,0.684155
15,15.33,0.666581
20,15.38,0.623015
25,15.58,0.539732
30,14.61,0.435971
35,14.64,0.340918
40,15.37,0.300293
45,15.76,0.269914
50,15.25,0.243072
55,14.63,0.206827
60,14.71,0.165183
65,15.46,0.134806
70,14.55,0.113213
75,15.22,0.102972
80,14.45,0.095692
85,15.59,0.092500
90,14.01,0.091336
95,15.13,0.088624
100,14.95,0.085664
105,15.36,0.085300
110,14.63,0.084887
115,14.04,0.084764
120,15.74,0.082624
125,14.36,0.082333
130,14.75,0.081623
135,13.92,0.081420
140,14.66,0.080566
145,14.57,0.079862
150,14.48,0.079243
155,15.43,0.079367
160,15.09,0.078651
165,15.30,0.078296
170,15.97,0.077458
175,14.30,0.076724
180,15.19,0.076656
185,14.28,0.075030
190,14.89,0.072905
195,15.61,0.072156
200,15.29,0.069470
205,14.86,0.068228
210,14.58,0.065636
215,15.59,0.060275
220,14.82,0.053478
225,16.32,0.046174
230,14.97,0.045559
235,15.56,0.060982
240,14.14,0.058028
245,15.05,0.044307
250,15.10,0.034189
255,15.79,0.030002
260,15.03,0.026561
265,14.91,0.025154
270,15.14,0.019298
275,14.99,0.017904
280,15.59,0.015943
285,15.95,0.014369
290,14.87,0.013138
295,14.97,0.012145
300,15.58,0.011033
305,15.72,0.010333
310,13.83,0.010480
315,16.28,0.009313
320,15.58,0.008857
325,15.51,0.007369
330,14.79,0.008525
335,14.83,0.007670
340,14.28,0.007888
345,13.96,0.006958
350,16.25,0.005164
355,15.05,0.005903
360,15.22,0.005513
365,14.91,0.004923
370,15.19,0.005749
375,14.23,0.005228
380,15.35,0.004564
385,14.20,0.004204
390,14.89,0.003999
395,15.00,0.004533
400,14.98,0.003889
405,15.56,0.003682
410,14.53,0.004113
415,15.58,0.003869
420,14.38,0.004633
425,14.89,0.003991
430,14.59,0.004144
435,15.26,0.003020
440,15.49,0.003592
445,14.58,0.002904
450,15.97,0.002592
455,15.31,0.002956
460,15.12,0.002894
465,14.70,0.003339
470,14.72,0.002854
475,14.67,0.002837
480,14.36,0.002591
485,15.09,0.002477
490,15.01,0.002014
495,15.36,0.002119
500,15.04,0.002295
505,15.12,0.002180
510,14.79,0.001961
515,14.31,0.002819
520,15.25,0.002231
525,15.37,0.003062
530,15.31,0.002233
535,15.31,0.002559
540,13.69,0.002893
545,15.41,0.002204
550,14.96,0.002171
555,15.32,0.001880
560,15.43,0.001921
565,15.37,0.001816
570,14.91,0.001857
575,15.44,0.001698
580,15.87,0.001642
585,14.43,0.002196
590,15.24,0.002142
595,15.66,0.001528
600,13.95,0.002178
605,14.40,0.001848
610,15.20,0.001817
615,15.65,0.001665
620,15.16,0.002234
625,14.69,0.001700
630,14.99,0.001562
635,14.71,0.001566
640,14.98,0.001752
645,14.36,0.002285
650,14.76,0.002015
655,15.21,0.001856
660,15.77,0.001413
665,15.54,0.002057
670,14.39,0.001805
675,15.19,0.001482
680,14.16,0.001722
685,14.69,0.001575
690,15.55,0.001665
695,14.51,0.001688
700,14.80,0.001499
705,14.45,0.002280
710,14.98,0.001940
715,14.45,0.001598
720,15.49,0.001607
725,15.02,0.001342
730,14.81,0.001581
735,15.76,0.001247
740,14.01,0.001932
745,14.94,0.001317
750,14.53,0.001241
755,14.95,0.000902
760,15.48,0.001931
765,15.15,0.001003
770,15.82,0.001052
775,14.89,0.001384
780,14.85,0.001128
785,14.80,0.002038
790,15.38,0.001166
795,16.21,0.000804
800,14.59,0.001566
805,15.26,0.001240
810,15.22,0.001285
815,14.53,0.001007
820,14.62,0.001621
825,15.74,0.000970
830,14.99,0.001555
835,15.34,0.000885
840,15.20,0.001252
845,13.91,0.001623
850,15.64,0.001123
855,14.42,0.001737
860,14.99,0.001164
865,14.63,0.000965
870,14.31,0.001226
875,14.63,0.001292
880,16.23,0.001175
885,13.93,0.002589
890,15.70,0.001064
895,14.99,0.001415
900,14.36,0.001047
905,15.05,0.000955
910,15.15,0.001142
915,14.86,0.001424
920,14.71,0.001314
925,14.78,0.001177
930,15.38,0.001408
935,14.68,0.001158
940,14.19,0.001334
945,16.03,0.000882
950,15.18,0.000976
955,14.98,0.001010
960,15.69,0.001082
965,15.85,0.001313
970,15.77,0.000780
975,15.92,0.000916
980,15.46,0.001425
985,15.15,0.000804
990,14.15,0.001831
995,14.96,0.000951
1000,14.76,0.001267
1005,14.79,0.001079
1010,14.97,0.000946
1015,15.33,0.001328
1020,15.42,0.001064
1025,14.30,0.001750
1030,13.79,0.001733
1035,15.22,0.001364
1040,14.73,0.001223
1045,14.63,0.001228
1050,15.84,0.000987
1055,14.59,0.001768
1060,14.86,0.000769
1065,15.28,0.001043
1070,15.05,0.001017
1075,15.69,0.000659
1080,15.17,0.000828
1085,13.77,0.001277
1090,15.25,0.000902
1095,15.80,0.001050
1100,15.02,0.000754
1105,14.86,0.001124
1110,15.75,0.001256
1115,16.15,0.000638
1120,14.22,0.001213
1125,14.54,0.001385
1130,14.33,0.000903
1135,14.38,0.001424
1140,14.61,0.001275
1145,15.75,0.000735
1150,14.45,0.001457
1155,15.10,0.001150
1160,15.07,0.001088
1165,14.90,0.001105
1170,15.13,0.001478
1175,15.03,0.001333
1180,15.33,0.001066
1185,15.58,0.000704
1190,14.09,0.001585
1195,14.57,0.001372
1200,14.50,0.001288
1205,14.78,0.000915
1210,14.56,0.001140
1215,15.40,0.000907
1220,14.58,0.001011
1225,14.76,0.001917
1230,14.37,1.072210
1235,15.32,0.474071
1240,14.42,0.259264
1245,15.93,0.192436
1250,15.25,0.162047
1255,15.53,0.138051
1260,14.79,0.115850
1265,16.07,0.108104
1270,15.68,0.102073
1275,15.55,0.090968
1280,15.88,0.087287
1285,15.62,0.080130
1290,14.54,0.075149
1295,14.46,0.068241
1300,15.29,0.059782
1305,14.84,0.049858
1310,14.31,0.038744
1315,14.93,0.030450
1320,13.98,0.027533
1325,13.99,0.023423
1330,15.04,0.020647
1335,14.94,0.017549
1340,15.99,0.014986
1345,14.85,0.014652
1350,14.70,0.012312
1355,15.08,0.011411
1360,14.86,0.011149
1365,14.52,0.011289
1370,14.63,0.009845
1375,15.61,0.009538
1380,14.74,0.010109
1385,15.30,0.008425
1390,15.71,0.008618
1395,13.76,0.008388
1400,15.48,0.006887
1405,15.41,0.007049
1410,14.91,0.006767
1415,14.79,0.007113
1420,14.91,0.006103
1425,14.86,0.005427
1430,15.97,0.005586
1435,14.51,0.005876
1440,15.08,0.005225
1445,14.29,0.005555
1450,15.94,0.004021
1455,15.40,0.004928
1460,15.13,0.004396
1465,14.94,0.004439
1470,14.41,0.004096
1475,15.23,0.004453
1480,14.59,0.003646
1485,15.07,0.004083
1490,15.49,0.003631
1495,15.73,0.003728
1500,14.91,0.003895
1505,14.98,0.003584
1510,16.09,0.003152
1515,15.17,0.003532
1520,14.94,0.003725
1525,14.62,0.004115
1530,14.71,0.003195
1535,14.95,0.003732
1540,16.44,0.002593
1545,14.73,0.003753
1550,14.93,0.003134
1555,15.51,0.002648
1560,15.24,0.004297
1565,14.36,0.003178
1570,15.19,0.003573
1575,15.10,0.002904
1580,15.21,0.003348
1585,14.81,0.003006
1590,15.11,0.002805
1595,15.33,0.002400
1600,15.33,0.002902
1605,15.31,0.002417
1610,14.71,0.002731
1615,14.85,0.002906
1620,14.33,0.002974
1625,14.62,0.002589
1630,15.31,0.002527
1635,15.49,0.002406
1640,15.39,0.002393
1645,15.46,0.002212
1650,14.84,0.002413
1655,15.98,0.002186
1660,15.45,0.003200
1665,15.39,0.002600
1670,15.27,0.002579
1675,15.77,0.002238
1680,15.59,0.002305
1685,14.91,0.002825
1690,15.06,0.002518
1695,16.32,0.001921
1700,14.28,0.002732
1705,15.26,0.002062
1710,15.84,0.002416
1715,14.30,0.002322
1720,14.99,0.002491
1725,14.60,0.002239
1730,14.81,0.002131
1735,15.34,0.001783
1740,15.68,0.002266
1745,15.12,0.001775
1750,15.25,0.002314
1755,15.84,0.002337
1760,15.64,0.001627
1765,14.89,0.002054
1770,15.78,0.001847
1775,15.45,0.001902
1780,15.06,0.002012
1785,16.13,0.001866
1790,15.71,0.001783
1795,15.59,0.002204
1800,14.34,0.002042
1805,15.61,0.001789
1810,17.01,0.001209
1815,15.82,0.001618
1820,14.03,0.003269
1825,14.49,0.002436
1830,15.32,0.001399
1835,14.90,0.002181
1840,14.43,0.002314
1845,15.43,0.001869
1850,14.58,0.001845
1855,14.75,0.002258
1860,15.17,0.001661
1865,14.86,0.001814
1870,14.71,0.001884
1875,15.58,0.002186
1880,14.57,0.002915
1885,15.56,0.001918
1890,14.79,0.001515
1895,15.60,0.001759
1900,15.99,0.001228
1905,14.95,0.001531
1910,14.44,0.002373
1915,15.60,0.002020
1920,14.60,0.002199
1925,14.57,0.001744
1930,15.04,0.001562
1935,14.79,0.001758
1940,14.38,0.001864
1945,14.80,0.001289
1950,14.62,0.001795
1955,16.04,0.001006
1960,15.84,0.001793
1965,14.96,0.001914
1970,15.88,0.001244
1975,14.32,0.001762
1980,15.57,0.001470
1985,14.82,0.001446
1990,15.68,0.001226
1995,14.28,0.001884
